,participant_id,age,agent,color,video_order,video_url,rating_enjoyment,rating_danger,rating_map_difficulty,perceived_playing_style,game_familiarity,watch_gaming_frequency,model_name,amplitude_condition,danger_condition,danger_score,map_difficulty_condition,map_difficulty_score,trajectory_unit,trajectory_model,trajectory
2869,9358-12a03d75-c2b6-4516-ac32-df207b14f657,35,low_danger_high_difficulty,yellow,2,mr_5_2_20_trajectory_low_amplitude_low_danger_0.038_high_difficulty_55.67_yellow.mp4,,,33.0,70.0,2.0,0.0,mr_5_2_20,low,low,0.38,high,0.5567,mr_5_2_20_trajectory_low_amplitude_low_danger_0.038_high_difficulty,mr_5_2_20,mr_5_2_20_low_amplitude
2870,9358-12a03d75-c2b6-4516-ac32-df207b14f657,35,low_danger_low_difficulty,green,3,mr_5_2_20_trajectory_high_amplitude_low_danger_0.048_low_difficulty_53.67_green.mp4,,,42.0,70.0,2.0,0.0,mr_5_2_20,high,low,0.48,low,0.5367000000000001,mr_5_2_20_trajectory_high_amplitude_low_danger_0.048_low_difficulty,mr_5_2_20,mr_5_2_20_high_amplitude
2871,9358-12a03d75-c2b6-4516-ac32-df207b14f657,35,high_danger_low_difficulty,red,4,mr_5_2_20_trajectory_high_amplitude_high_danger_0.060_low_difficulty_52.67_red.mp4,,,40.0,70.0,2.0,0.0,mr_5_2_20,high,high,0.6,low,0.5267000000000001,mr_5_2_20_trajectory_high_amplitude_high_danger_0.060_low_difficulty,mr_5_2_20,mr_5_2_20_high_amplitude
2872,2454-81a3d007-1d40-45c5-be3e-7ab27ccb5ba8,39,high_danger_high_difficulty,yellow,1,unlimited_trajectory_high_amplitude_high_danger_0.052_high_difficulty_65.33_yellow.mp4,,,9.0,5.0,2.0,3.0,unlimited,high,high,0.52,high,0.6533,unlimited_trajectory_high_amplitude_high_danger_0.052_high_difficulty,unlimited,unlimited_high_amplitude
2873,2454-81a3d007-1d40-45c5-be3e-7ab27ccb5ba8,39,low_danger_high_difficulty,green,2,unlimited_trajectory_high_amplitude_low_danger_0.044_high_difficulty_65.33_green.mp4,,,24.0,5.0,2.0,3.0,unlimited,high,low,0.43999999999999995,high,0.6533,unlimited_trajectory_high_amplitude_low_danger_0.044_high_difficulty,unlimited,unlimited_high_amplitude
2874,2454-81a3d007-1d40-45c5-be3e-7ab27ccb5ba8,39,low_danger_low_difficulty,red,3,unlimited_trajectory_low_amplitude_low_danger_0.039_low_difficulty_48.00_red.mp4,,,24.0,5.0,2.0,3.0,unlimited,low,low,0.39,low,0.48,unlimited_trajectory_low_amplitude_low_danger_0.039_low_difficulty,unlimited,unlimited_low_amplitude
2875,2454-81a3d007-1d40-45c5-be3e-7ab27ccb5ba8,39,high_danger_low_difficulty,blue,4,unlimited_trajectory_low_amplitude_high_danger_0.047_low_difficulty_48.00_blue.mp4,,,25.0,5.0,2.0,3.0,unlimited,low,high,0.47,low,0.48,unlimited_trajectory_low_amplitude_high_danger_0.047_low_difficulty,unlimited,unlimited_low_amplitude
2876,6288-dccb5c63-c457-459b-883e-932578cd28dd,46,low_danger_low_difficulty,green,1,unlimited_trajectory_low_amplitude_low_danger_0.039_low_difficulty_48.00_green.mp4,,,0.0,0.0,0.0,0.0,unlimited,low,low,0.39,low,0.48,unlimited_trajectory_low_amplitude_low_danger_0.039_low_difficulty,unlimited,unlimited_low_amplitude
2877,6288-dccb5c63-c457-459b-883e-932578cd28dd,46,high_danger_high_difficulty,red,2,unlimited_trajectory_low_amplitude_high_danger_0.047_high_difficulty_60.67_red.mp4,,,0.0,0.0,0.0,0.0,unlimited,low,high,0.47,high,0.6067,unlimited_trajectory_low_amplitude_high_danger_0.047_high_difficulty,unlimited,unlimited_low_amplitude
2878,6288-dccb5c63-c457-459b-883e-932578cd28dd,46,high_danger_low_difficulty,blue,3,unlimited_trajectory_high_amplitude_high_danger_0.053_low_difficulty_52.33_blue.mp4,,,0.0,0.0,0.0,0.0,unlimited,high,high,0.53,low,0.5233,unlimited_trajectory_high_amplitude_high_danger_0.053_low_difficulty,unlimited,unlimited_high_amplitude
